source,Date,incid_est,t,country_name,country,incid_conf,cum_incid,cum_est_incid
AFG,2020-01-22,0,2020-01-22,Afghanistan,AFG,0,0,0
AFG,2020-01-23,0,2020-01-23,Afghanistan,AFG,0,0,0
AFG,2020-01-24,0,2020-01-24,Afghanistan,AFG,0,0,0
AFG,2020-01-25,0,2020-01-25,Afghanistan,AFG,0,0,0
AFG,2020-01-26,0,2020-01-26,Afghanistan,AFG,0,0,0
AFG,2020-01-27,0,2020-01-27,Afghanistan,AFG,0,0,0
AFG,2020-01-28,0,2020-01-28,Afghanistan,AFG,0,0,0
AFG,2020-01-29,0,2020-01-29,Afghanistan,AFG,0,0,0
AFG,2020-01-30,0,2020-01-30,Afghanistan,AFG,0,0,0
AFG,2020-01-31,0,2020-01-31,Afghanistan,AFG,0,0,0
AFG,2020-02-01,0,2020-02-01,Afghanistan,AFG,0,0,0
AFG,2020-02-02,0,2020-02-02,Afghanistan,AFG,0,0,0
AFG,2020-02-03,0,2020-02-03,Afghanistan,AFG,0,0,0
AFG,2020-02-04,0,2020-02-04,Afghanistan,AFG,0,0,0
AFG,2020-02-05,0,2020-02-05,Afghanistan,AFG,0,0,0
AFG,2020-02-06,0,2020-02-06,Afghanistan,AFG,0,0,0
AFG,2020-02-07,0,2020-02-07,Afghanistan,AFG,0,0,0
AFG,2020-02-08,0,2020-02-08,Afghanistan,AFG,0,0,0
AFG,2020-02-09,0,2020-02-09,Afghanistan,AFG,0,0,0
AFG,2020-02-10,0,2020-02-10,Afghanistan,AFG,0,0,0
AFG,2020-02-11,0,2020-02-11,Afghanistan,AFG,0,0,0
AFG,2020-02-12,0,2020-02-12,Afghanistan,AFG,0,0,0
AFG,2020-02-13,0,2020-02-13,Afghanistan,AFG,0,0,0
AFG,2020-02-14,0,2020-02-14,Afghanistan,AFG,0,0,0
AFG,2020-02-15,0,2020-02-15,Afghanistan,AFG,0,0,0
AFG,2020-02-16,0,2020-02-16,Afghanistan,AFG,0,0,0
AFG,2020-02-17,0,2020-02-17,Afghanistan,AFG,0,0,0
AFG,2020-02-18,0,2020-02-18,Afghanistan,AFG,0,0,0
AFG,2020-02-19,0.01,2020-02-19,Afghanistan,AFG,0,0,0.01
AFG,2020-02-20,0.02,2020-02-20,Afghanistan,AFG,0,0,0.03
AFG,2020-02-21,0.05,2020-02-21,Afghanistan,AFG,0,0,0.08
AFG,2020-02-22,0.1,2020-02-22,Afghanistan,AFG,0,0,0.18000000000000002
AFG,2020-02-23,0.15,2020-02-23,Afghanistan,AFG,0,0,0.33
